date,pond,variable,empirical,predicted,reldiff
19-02-2024,JKS1,ammonia,0.16,0.1280463423,-19.97
19-02-2024,PRA1,ammonia,0.19,0.1841080096,-3.1
19-02-2024,SBR1,ammonia,0.14,0.1478974564,5.64
19-02-2024,NSR1,ammonia,0.23,0.1912176855,-16.86
19-02-2024,VPS3,ammonia,0.18,0.1492835654,-17.06
19-02-2024,NRO1,ammonia,0.26,0.2838544814,9.17
19-02-2024,PKR1,ammonia,0.21,0.1664030543,-20.76
19-02-2024,GIL2,ammonia,0.06,0.05645680402,-5.91
24-02-2024,PRA1,ammonia,0.08,0.07474142861,-6.57
29-02-2024,JKS1,ammonia,0.11,0.1274401419,15.85
29-02-2024,PNR1,ammonia,0.16,0.1673171666,4.57
29-02-2024,VVR1,ammonia,0.12,0.09823420771,-18.14
29-02-2024,KIS1,ammonia,0.08,0.08258916764,3.24
29-02-2024,PRA1,ammonia,0.17,0.1763992365,3.76
29-02-2024,SBR1,ammonia,0.15,0.1530441706,2.03
29-02-2024,NRO1,ammonia,0.21,0.2174669404,3.56
29-02-2024,PKR1,ammonia,0.25,0.2276331528,-8.95
29-02-2024,SRI2,ammonia,0.15,0.1720673688,14.71
29-02-2024,GIL2,ammonia,0.13,0.1058899825,-18.55
05-03-2024,SNR2,ammonia,0.07,0.0668161869,-4.55
05-03-2024,PNR1,ammonia,0.2,0.1922183812,-3.89
05-03-2024,SBR1,ammonia,0.11,0.09727032731,-11.57
05-03-2024,NSR1,ammonia,0.17,0.150000871,-11.76
05-03-2024,VPS3,ammonia,0.16,0.1348810898,-15.7
05-03-2024,NRO1,ammonia,0.18,0.21128398,17.38
05-03-2024,GRA1,ammonia,0.15,0.1360239757,-9.32
05-03-2024,SRI1,ammonia,0.14,0.1663028507,18.79
10-03-2024,PNR1,ammonia,0.15,0.1792719311,19.51
10-03-2024,SRI1,ammonia,0.15,0.1391692562,-7.22
10-03-2024,GIL2,ammonia,0.11,0.1105543538,0.5
19-02-2024,SNR2,do,4.7,4.095487632,-12.86
19-02-2024,SRV1,do,3.75,3.283972659,-12.43
19-02-2024,SBR1,do,3.99,3.760460775,-5.75
19-02-2024,NSR1,do,3.7,3.838627575,3.75
19-02-2024,VPS3,do,3.7,3.748208006,1.3
19-02-2024,GRA1,do,3.2,3.576526488,11.77
19-02-2024,SRI2,do,3.1,3.565482353,15.02
19-02-2024,GIL2,do,3.4,3.284993788,-3.38
24-02-2024,PNR1,do,5.94,5.150863449,-13.29
24-02-2024,GOW2,do,6.73,5.875147735,-12.7
24-02-2024,VPS3,do,3.1,3.194796847,3.06
29-02-2024,SNR2,do,3.73,3.767447305,1
29-02-2024,SRV1,do,3.32,3.600025801,8.43
29-02-2024,SRK1,do,3.86,3.627343669,-6.03
29-02-2024,VPS3,do,4.6,4.0642293,-11.65
29-02-2024,GRA1,do,3.3,3.813188487,15.55
29-02-2024,SRI1,do,4.2,3.956017267,-5.81
05-03-2024,SNR2,do,3.82,4.175092003,9.3
05-03-2024,JKS1,do,3.6,3.866484531,7.4
05-03-2024,JAG1,do,4.5,3.860716131,-14.21
05-03-2024,VPS3,do,4,3.822977334,-4.43
05-03-2024,VMS1,do,5.7,6.214344876,9.02
05-03-2024,SRI1,do,4.2,3.883038265,-7.55
10-03-2024,SNR2,do,6.72,5.727210043,-14.77
10-03-2024,NSR1,do,4.1,4.571546852,11.5
10-03-2024,JAG1,do,3.6,4.021715609,11.71
10-03-2024,VPS3,do,4.2,3.716743364,-11.51
10-03-2024,NRO1,do,5.2,4.468701626,-14.06
10-03-2024,VMS1,do,6.8,5.982508569,-12.02
10-03-2024,GRA1,do,4.7,5.301841786,12.81
19-02-2024,SNR2,chl,314.77,254.8013907,-19.05
19-02-2024,JKS1,chl,110.52,96.93554833,-12.29
19-02-2024,PNR1,chl,182.11,185.4986322,1.86
19-02-2024,GOW2,chl,185.36,165.6628166,-10.63
19-02-2024,SRV1,chl,213.31,206.192187,-3.34
19-02-2024,VVR1,chl,236.18,221.7090478,-6.13
19-02-2024,PRA1,chl,358.49,294.0687161,-17.97
19-02-2024,SBR1,chl,255.62,237.6477221,-7.03
19-02-2024,NRO1,chl,267.14,278.2152405,4.15
19-02-2024,VMS1,chl,335.43,269.6364859,-19.61
19-02-2024,PKR1,chl,257.05,267.3054852,3.99
