pond,day1,day2,day3,day4,day5
NSR1,52.33,42.25,73.02,96.64,103.71
JAG1,253.65,158.34,138.85,154.75,182.92
VPS3,126.37,126.34,85.9,105.07,88.27
NRO1,267.14,189.65,137.97,134.54,104.24
VMS1,335.43,258.82,238.28,371.9,356.37
GRA1,276.81,148.63,111.26,132.52,114.96
PKR1,257.05,190.67,228.51,36.69,ND
SRI2,118.74,170.45,95.73,155.79,170.53
SRI1,138.97,85.36,177.07,101.82,101.43
GIL2,61.55,55.76,56.81,66.67,75.52
SNR2,314.77,195.48,214.55,199.88,308.93
JKS1,110.52,52.38,81.72,85.07,74.61
PNR1,182.11,106.35,77.2,86.14,105.6
GOW2,185.36,123.2,131.93,127.99,99.03
SRV1,213.31,98.44,185.66,139.9,132.31
SRK1,621.83,377.58,477.38,383.74,401
VVR1,236.18,136.97,142.82,139.85,80.05
KIS1,95.45,44.31,52.15,32.1,41.81
PRA1,358.49,151.73,180.58,171.74,124.1
SBR1,255.62,132.7,147.42,129.88,113.92
