pond,day1,day2,day3,day4,day5
NSR1,3.7,5.7,7.6,9.6,4.1
JAG1,2.1,2.1,2.8,4.5,3.6
VPS3,3.7,3.1,4.6,4,4.2
NRO1,1.6,6.5,1.1,5.3,5.2
VMS1,2.7,2.8,5.8,5.7,6.8
GRA1,3.2,3,3.3,4,4.7
PKR1,4.8,6.6,8.1,2.8,ND
SRI2,3.1,0.8,7,6.3,2.2
SRI1,2.7,6.4,4.2,4.2,7.7
GIL2,3.4,2.5,7.7,4.2,2.2
SNR2,4.7,3.58,3.73,3.82,6.72
JKS1,2,1.21,3.17,3.6,2.35
PNR1,2.87,5.94,12.94,5.4,8.77
GOW2,8.79,6.73,11.04,11.51,7.5
SRV1,3.75,4.57,3.32,5.4,6.75
SRK1,7.65,2.04,3.86,9.18,4.66
VVR1,5.51,7.62,13.44,3.25,7.57
KIS1,3.3,3.84,6.88,5.55,7.06
PRA1,3.3,9.28,3.9,4.39,11.59
SBR1,3.99,7.55,13.87,9.08,10.1
