pond,day1,day2,day3,day4,day5
NSR1,27.9,28.5,28.9,29.2,29.7
JAG1,28.4,29.2,28.9,29.3,29.8
VPS3,28.8,29.2,29.4,29.5,30.1
NRO1,28.7,29.6,29.3,30,30.5
VMS1,28.7,29.2,29.6,29.6,30.2
GRA1,28.3,28.9,29.2,28.4,30.1
PKR1,29.7,29.9,30.5,30.5,ND
SRI2,28.5,28.6,29.7,29.4,29.8
SRI1,28.6,29.5,29.2,29.7,30.6
GIL2,28.4,28.7,29.2,29,29.6
SNR2,28.2,29,28.5,28,29.2
JKS1,28.6,29.3,29.3,29.4,30.3
PNR1,28.3,28.6,29.3,28.6,29.8
GOW2,28.5,29.4,29.5,30.1,30.3
SRV1,28.6,28.7,29.4,29.3,30.2
SRK1,27.9,28.7,28.6,29.1,29.6
VVR1,28.5,29.5,29.3,28.3,29.7
KIS1,28.9,29.5,30.1,29.9,31
PRA1,29,30,29.8,29.6,31.2
SBR1,28.9,29.7,30.4,30.4,30.9
