Dyke - Location 1,,,,,,,,,Dyke - Location 2,,,,,,,,,Internal - Location 1,,,,,,,,,Internal - Location 2,,,,,,,,,Internal - Location 3,,,,,,,
Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH
06-01-2022,Evening,17:20:00,34,39.95,6.96,18.46,8.86,,06-01-2022,Evening,17:42:20,35,39.84,6.2,24.14,9.01,,06-01-2022,Evening,17:24:14,35,38.44,7.06,23.85,8.95,,06-01-2022,Evening,17:30:19,35,33.9,6.21,22.9,9.04,,06-01-2022,Evening,17:34:33,35,41.17,7.1,24.65,9.02
06-02-2022,Evening,17:21:37,35,41.77,7.42,17.56,8.88,,06-02-2022,Evening,17:37:09,36,48.07,8.5,24.54,8.93,,06-02-2022,Evening,17:24:57,36,51.72,8.88,23.04,8.84,,06-02-2022,Evening,17:29:12,36,40.99,7.25,28.45,9.04,,06-02-2022,Evening,17:31:34,36,47.3,8.48,23.52,8.91
06-03-2022,Evening,18:17:40,35,38.42,6.97,27.02,8.99,,06-03-2022,Evening,18:36:48,35,33.82,6.49,25.32,9.08,,06-03-2022,Evening,18:21:24,35,38.79,6.64,28.6,9.08,,06-03-2022,Evening,18:27:22,34,51.25,8.66,17.46,8.79,,06-03-2022,Evening,18:30:47,34,45.08,8.67,21.04,8.89
06-04-2022,Evening,17:37:48,35.24,33.36,7.66,16.6,8.7,,06-04-2022,Evening,17:54:42,35,46.25,8.27,25.01,8.99,,06-04-2022,Evening,17:42:14,35,50.35,9.43,20.01,8.79,,06-04-2022,Evening,17:46:20,35,35.85,6.58,23.37,8.92,,06-04-2022,Evening,17:48:41,35,35.35,6.82,21.13,8.88
06-05-2022,Evening,17:56:51,35.11,37.66,7.88,23.18,8.87,,06-05-2022,Evening,18:15:13,36,26.61,5.63,22.75,9,,06-05-2022,Evening,18:01:17,35,30.4,6,26.22,8.94,,06-05-2022,Evening,18:06:21,35,40.59,8.42,21.01,8.83,,06-05-2022,Evening,18:09:41,34,44,8.57,15.7,8.72
06-06-2022,Evening,17:40:38,31,32.26,7.53,6.71,8.1,,06-06-2022,Evening,17:55:05,31,43.57,9.43,9.5,8.55,,06-06-2022,Evening,17:43:44,31,39.85,9.36,9.11,8.48,,06-06-2022,Evening,17:47:52,31,39.83,9.04,9.24,8.52,,06-06-2022,Evening,17:50:27,31,35.99,8.51,7.64,8.5
06-07-2022,Evening,17:39:43,33,20.69,4.85,18.9,8.31,,06-07-2022,Evening,17:57:25,33,25.16,6.53,23.32,8.9,,06-07-2022,Evening,17:44:05,33,30.25,7.76,19.1,8.62,,06-07-2022,Evening,17:50:04,32.67,35.46,9.07,17.21,8.66,,06-07-2022,Evening,17:52:54,32,37.84,8.74,12.93,8.55
06-08-2022,Evening,19:37:40,33,18.64,6.21,10.49,8.26,,06-15-2022,Evening,18:12:02,-,22.16,15.04,18.43,-,,06-15-2022,Evening,18:01:02,-,20.75,15.21,17.31,-,,06-15-2022,Evening,18:06:10,-,22.28,15.66,15.62,-,,06-15-2022,Evening,18:08:42,-,23.09,15.13,13.46,-
06-09-2022,Evening,19:52:48,32.753,14.52,5.8,9.75,8.17,,06-16-2022,Evening,19:10:40,32.637,21.73,15.52,7.56,8.56,,06-16-2022,Evening,18:57:23,32.312,20.03,15.22,7.73,8.43,,06-16-2022,Evening,19:03:45,32.841,20.35,14.56,9.77,8.54,,06-16-2022,Evening,19:06:28,32.813,20.26,14.68,9.64,8.53
06-10-2022,Evening,19:33:24,33.386,18.14,8.31,12.74,8.61,,06-17-2022,Evening,17:54:59,33.358,19.68,15.1,13.54,8.66,,06-17-2022,Evening,17:41:24,34.412,19.87,15.41,18.87,8.74,,06-17-2022,Evening,17:47:34,33.259,19.49,15.47,11.87,8.57,,06-17-2022,Evening,17:51:45,33.099,20.81,16.63,9.09,8.53
06-11-2022,Evening,19:40:08,33.678,21.76,11.31,13.44,8.65,,06-18-2022,Evening,18:15:12,33.617,21.33,14.68,16.38,8.71,,06-18-2022,Evening,18:03:10,33.824,17.42,13.76,18.68,8.75,,06-18-2022,Evening,18:06:30,33.448,21.75,15.43,12.58,8.62,,06-18-2022,Evening,18:10:32,33.45,23.19,15.5,12.02,8.59
06-12-2022,Evening,19:36:17,35.008,19.73,11.2,16.58,8.75,,06-19-2022,Evening,18:42:26,32.319,19.27,13.95,13.69,8.69,,06-19-2022,Evening,18:32:15,32.758,22.25,14.98,13.99,8.68,,06-19-2022,Evening,18:35:11,32.264,20.72,13.01,11.16,8.64,,06-19-2022,Evening,18:38:14,32.175,22.81,14.32,7,8.52
06-13-2022,Evening,21:40:08,31.461,17.83,13.28,6.65,8.47,,06-20-2022,Evening,17:55:58,32.292,19.56,13.27,8.94,8.59,,06-20-2022,Evening,17:43:51,33.447,19.13,14.54,19.19,8.75,,06-20-2022,Evening,17:47:22,32.696,20.75,13.52,13.17,8.68,,06-20-2022,Evening,17:49:58,32.476,22.73,14.03,9.02,8.57
06-14-2022,Evening,20:17:12,34.32,18.07,12.06,17.04,8.75,,06-21-2022,Evening,18:49:00,31.471,21.52,14.02,9.44,8.58,,06-21-2022,Evening,18:39:40,31.752,21.73,13.77,13.82,8.54,,06-21-2022,Evening,18:43:28,31.733,22.92,16.58,11.27,8.51,,06-21-2022,Evening,18:46:05,31.496,21.37,14.74,10.39,8.6
06-15-2022,Evening,17:57:34,-,19.3,13.84,20.28,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-16-2022,Evening,18:53:48,32.488,20.03,14.26,8.37,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-17-2022,Evening,17:38:09,34.21,20.32,14.84,19.44,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-2022,Evening,17:59:10,34.091,17.7,13.92,19.18,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-19-2022,Evening,18:28:55,32.512,20.62,14.4,14.11,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-20-2022,Evening,17:39:44,32.902,15.97,11.59,12.21,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-21-2022,Evening,18:35:46,31.627,21.41,13.98,13.64,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
