Dyke - Location 1,,,,,,,,,Dyke - Location 2,,,,,,,,,Internal - Location 1,,,,,,,,,Internal - Location 2,,,,,,,,,Internal - Location 3,,,,,,,
Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH
06-01-2022,Morning,7:16:13,31.78,45.96,7.63,1.37,8.23,,06-01-2022,Morning,7:48:28,32,45.93,7.77,2.05,8.24,,06-01-2022,Morning,7:28:21,32,38.97,8.77,2.9,8.22,,06-01-2022,Morning,7:32:57,32,41.04,7.66,5.57,8.42,,06-01-2022,Morning,7:39:24,32,50.39,8.05,4.1,8.34
06-02-2022,Morning,7:10:24,32,52.23,8.37,1.38,8.21,,06-02-2022,Morning,7:47:40,33,43.09,7.29,4.24,8.42,,06-02-2022,Morning,7:22:31,32,40.11,6.85,1.64,8.21,,06-02-2022,Morning,7:30:06,33,46.77,8.11,5.07,8.5,,06-02-2022,Morning,7:40:41,33,39.67,7.08,3.9,8.46
06-03-2022,Morning,8:23:43,32,47.17,9.32,5.86,8.36,,06-03-2022,Morning,8:43:02,32.16,48.55,8.68,9.06,8.6,,06-03-2022,Morning,8:26:33,31,41.97,8.41,6.76,8.37,,06-03-2022,Morning,8:32:35,32,46.03,8.31,7.25,8.57,,06-03-2022,Morning,8:34:32,32,38.22,7.76,7.45,8.56
06-04-2022,Morning,8:05:49,32,24.28,5.2,5.41,7.68,,06-04-2022,Morning,8:30:37,32,40.02,7.83,5.24,8.44,,06-04-2022,Morning,8:11:56,32,39.26,7.87,5.04,8.32,,06-04-2022,Morning,8:18:24,32,45.69,8.32,5.06,8.43,,06-04-2022,Morning,8:24:38,32,46.4,8.17,4.56,8.46
06-05-2022,Morning,8:04:12,32,19.36,5.05,5.94,7.82,,06-05-2022,Morning,8:27:50,33,35.7,8.06,6.28,8.49,,06-05-2022,Morning,8:12:12,33,39.32,7.99,5.57,8.42,,06-05-2022,Morning,8:16:03,33,40.17,7.74,5.68,8.47,,06-05-2022,Morning,8:23:06,32,43.24,8.04,4.03,8.4
06-06-2022,Morning,7:28:22,31,31.87,7.15,1.5,8.3,,06-06-2022,Morning,7:48:05,31,37.89,7.48,1.36,8.35,,06-06-2022,Morning,7:32:12,31,32.19,7.4,1.67,8.35,,06-06-2022,Morning,7:37:11,32,39.02,7.85,1.97,8.39,,06-06-2022,Morning,7:42:53,32,34.86,7.47,2.4,8.42
06-07-2022,Morning,8:04:27,30,25.32,7.63,3.58,8.03,,06-07-2022,Morning,8:27:40,30,32.1,8.79,5.63,8.38,,06-07-2022,Morning,8:07:54,30,19.62,6.81,4.32,7.95,,06-07-2022,Morning,8:13:18,30,26.41,7.55,4.01,8.28,,06-07-2022,Morning,8:20:31,30,29.37,7.51,0.47,8.2
06-08-2022,Morning,7:59:02,31,21.46,6.6,4.01,8.24,,06-08-2022,Morning,8:20:44,31,18.07,5.83,3.59,8.38,,06-08-2022,Morning,8:02:42,31,22.33,6.64,3.16,8.12,,06-08-2022,Morning,8:08:05,31,31.69,8,3.21,8.26,,06-08-2022,Morning,8:14:38,31,24.87,7.77,1.74,8.19
06-09-2022,Morning,7:08:00,31.233,125.05,19.37,2.12,8.09,,06-10-2022,Morning,8:49:50,31.526,14.36,6.66,5.34,8.38,,06-09-2022,Morning,7:09:00,31.215,115.61,17.65,2.49,8.09,,06-10-2022,Morning,8:36:51,31.288,16.57,7.6,4.72,8.39,,06-10-2022,Morning,8:42:44,31.274,13.51,7.65,5.17,8.37
06-10-2022,Morning,8:21:15,31.147,14.29,8.1,4.49,8.29,,06-13-2022,Morning,9:02:21,31.495,14.61,10.26,5.55,8.45,,06-10-2022,Morning,8:29:29,30.89,11.96,15.07,4.1,8.31,,06-11-2022,Morning,8:26:03,32.056,14.79,15.64,5.65,8.4,,06-11-2022,Morning,8:29:56,31.814,12.25,7.11,3.58,8.35
06-11-2022,Morning,8:21:47,32.233,13.09,10.09,6.81,8.39,,06-15-2022,Morning,8:00:27,32.265,17.2,12.19,4.87,8.45,,06-11-2022,Morning,8:25:27,31.797,14.18,8.26,3.62,8.32,,06-13-2022,Morning,8:51:49,31.275,15.26,10.29,4.99,8.44,,06-13-2022,Morning,8:57:34,31.343,15.05,9.91,3.66,8.36
06-12-2022,Morning,7:36:04,31.809,14.85,9.09,1.68,8.32,,06-16-2022,Morning,10:50:42,31.506,17.6,15.33,7.86,8.52,,06-12-2022,Morning,7:43:25,31.771,14.07,10.23,3.13,8.4,,06-15-2022,Morning,7:46:35,31.855,17.31,13.12,5.51,8.46,,06-15-2022,Morning,7:55:12,32.131,19.15,12.96,4.52,8.45
06-13-2022,Morning,8:42:45,31.131,11.71,8.54,5.06,8.1,,06-17-2022,Morning,8:35:32,31.6,15.94,12.59,3.51,8.35,,06-13-2022,Morning,8:47:29,30.732,13.43,12.13,4.45,8.35,,06-16-2022,Morning,10:39:41,31.286,18.14,13.2,3.47,8.41,,06-16-2022,Morning,10:46:34,31.194,17.98,13.49,3.27,8.4
