Dyke - Location 1,,,,,,,,,Dyke - Location 2,,,,,,,,,Internal - Location 1,,,,,,,,,Internal - Location 2,,,,,,,
Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH
06-01-2022,Evening,18:03:24,33.74,119.41,17.79,10.96,8.39,,06-01-2022,Evening,18:28:21,33.405,124.56,19.05,6.62,8.28,,06-01-2022,Evening,18:19:07,33.489,120.46,18.49,6.13,8.27,,06-02-2022,Evening,18:18:41,34.577,85.96,12.66,11.93,8.45
06-02-2022,Evening,17:59:17,34.913,69.24,11.47,15.48,8.52,,06-02-2022,Evening,18:06:42,34.432,99,15.68,11.77,8.41,,06-02-2022,Evening,18:06:41,34.433,99.94,15.67,11.78,8.41,,06-03-2022,Evening,18:03:12,34.079,91.66,14.29,10.83,8.41
06-03-2022,Evening,17:46:49,34.603,84.34,12.9,16.27,8.54,,06-03-2022,Evening,17:57:10,34.01,101.51,15.19,11.58,8.39,,06-03-2022,Evening,17:51:48,34.097,104.63,16.13,11.1,8.4,,06-04-2022,Evening,18:23:04,34.279,87.4,13.54,10.49,8.36
06-04-2022,Evening,18:11:12,34.559,70.68,10.99,15.78,8.46,,06-04-2022,Evening,18:19:46,34.101,97.25,14.82,7.55,8.28,,06-04-2022,Evening,18:15:27,34.392,84.99,13.49,12.95,8.43,,06-05-2022,Evening,17:44:35,34.508,93.98,14.71,12.39,8.38
06-05-2022,Evening,17:27:58,35.163,63.73,10.17,18.29,8.53,,06-05-2022,Evening,17:36:56,34.594,103.78,16.45,10.37,8.33,,06-05-2022,Evening,17:33:39,34.725,92.55,14.71,12.35,8.41,,06-06-2022,Evening,17:19:53,31.508,95.38,14.95,6.38,8.2
06-06-2022,Evening,17:04:30,31.555,101.4,16.14,3.42,8.1,,06-06-2022,Evening,17:15:14,31.562,100.5,15.87,6.39,8.2,,06-06-2022,Evening,17:09:08,31.545,103.9,16.37,2.35,8.06,,06-07-2022,Evening,17:24:59,32.206,124.99,18.27,8.75,8.22
06-07-2022,Evening,17:09:48,33.628,63.04,10.37,20.12,8.57,,06-07-2022,Evening,17:18:13,32.868,99.63,14.73,15.09,8.4,,06-07-2022,Evening,17:13:33,33.023,90.82,13.13,16.91,8.47,,06-08-2022,Evening,19:25:34,32.801,115.91,17.75,10.92,8.4
06-08-2022,Evening,19:08:19,32.862,119.2,17.84,11.43,8.39,,06-08-2022,Evening,19:19:11,32.872,111.88,17.52,10.52,8.38,,06-08-2022,Evening,19:14:13,32.856,107.86,16.91,11.22,8.4,,06-09-2022,Evening,19:36:25,33,115.6,17.58,13,8.45
06-09-2022,Evening,19:19:42,33,118.69,17.96,11.84,8.48,,06-09-2022,Evening,19:31:35,33,119.95,18.61,11.91,8.43,,06-09-2022,Evening,19:24:08,32,134.56,21.23,8.97,8.34,,06-10-2022,Evening,19:21:57,32.611,134.99,21.37,9.93,8.39
06-10-2022,Evening,19:03:42,32.921,105.67,16.1,14.81,8.6,,06-10-2022,Evening,19:13:26,32.833,118.97,18.61,15.77,8.56,,06-10-2022,Evening,19:10:08,32.756,121.51,19.07,13.72,8.51,,06-11-2022,Evening,19:23:42,33.426,131.28,19.2,12.94,8.51
