Dyke - Location 1,,,,,,,,,Dyke - Location 2,,,,,,,,,Internal - Location 1,,,,,,,,,Internal - Location 2,,,,,,,
Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH
06-02-2022,Morning,8:22:17,32.553,95.41,14.84,1.56,8.14,,06-02-2022,Morning,8:27:36,32.584,99.09,15.77,1.61,8.13,,06-02-2022,Morning,8:26:30,32.41,143.77,26.14,0.45,8.05,,06-02-2022,Morning,8:36:42,32.933,87.38,14.38,5.8,8.27
06-03-2022,Morning,7:22:49,32.306,86.42,14,1.02,8.13,,06-03-2022,Morning,7:43:10,32.097,87.88,14.19,2.07,8.14,,06-03-2022,Morning,7:33:13,32.266,91.73,14.35,1.06,8.12,,06-03-2022,Morning,7:50:53,32.068,86.02,13.97,2.48,8.16
06-04-2022,Morning,7:24:52,32.382,90.83,14.76,0.97,8.11,,06-04-2022,Morning,7:38:40,32.282,90.4,13.92,1.15,8.09,,06-04-2022,Morning,7:30:54,32.332,90.29,13.98,0.85,8.09,,06-04-2022,Morning,7:41:24,32.378,86.13,13.63,1.6,8.1
06-05-2022,Morning,7:12:32,32.571,79.94,12.85,1.5,8.06,,06-05-2022,Morning,7:23:16,32.737,88.06,14.12,0.69,8.03,,06-05-2022,Morning,7:20:16,32.72,87.57,13.28,1.17,8.05,,06-05-2022,Morning,7:33:48,32.648,87.14,13.56,1.42,8.07
06-06-2022,Morning,8:07:41,32.051,102.64,15.79,0.77,8.05,,06-06-2022,Morning,8:21:48,32,99.34,15.83,0.53,8.06,,06-06-2022,Morning,8:13:03,32.08,99.02,15.78,0.78,8.07,,06-06-2022,Morning,8:28:11,32.032,97.42,15.54,0.77,8.05
06-07-2022,Morning,7:29:20,30.64,85.42,13.48,1.79,7.94,,06-07-2022,Morning,7:39:32,30.562,84.47,13.65,2.36,8.02,,06-07-2022,Morning,7:34:29,30.564,89.19,14.11,1.25,7.96,,06-07-2022,Morning,7:47:31,30.634,80.41,12.96,4.79,8.09
06-08-2022,Morning,7:08:42,31.35,110.51,17.2,1.91,8.03,,06-08-2022,Morning,7:24:00,31.348,107.95,17.27,1.89,8.04,,06-08-2022,Morning,7:14:09,31.347,115.44,18.48,1.38,8.01,,06-08-2022,Morning,7:28:55,31.307,108.02,17.06,2.53,8.06
06-09-2022,Morning,7:18:13,31.248,119.38,18.9,1.35,8.05,,06-09-2022,Morning,7:31:07,30.996,108.35,17.2,3.64,8.09,,06-09-2022,Morning,7:26:49,31.175,111.64,17.53,2.07,8.06,,06-09-2022,Morning,7:54:28,30.958,19.62,7,5.02,8.36
06-10-2022,Morning,7:36:12,31.176,125.54,19.89,2.12,8.17,,06-10-2022,Morning,7:51:44,31,124.85,20.01,3.12,8.16,,06-10-2022,Morning,7:41:59,31,126.4,20.43,3.1,8.16,,06-10-2022,Morning,7:58:14,31,108.27,18.22,5.91,8.24
06-11-2022,Morning,7:46:52,31.583,113.16,18.34,5.44,8.26,,06-11-2022,Morning,7:59:44,31.657,137.21,21.19,2.9,8.22,,06-11-2022,Morning,7:51:06,31.643,121.81,19.36,4.31,8.26,,06-11-2022,Morning,8:04:37,31.704,118.83,19.33,5.13,8.29
06-12-2022,Morning,8:30:49,31.887,128.84,19.95,1.48,8.21,,06-12-2022,Morning,8:42:47,32.084,121.92,19.73,2.54,8.24,,06-12-2022,Morning,8:34:26,31.935,121.81,19.99,1.74,8.22,,06-12-2022,Morning,8:47:32,32.252,110.68,18.55,6.34,8.33
06-13-2022,Morning,7:53:15,31.663,118.89,18.91,2.06,8.23,,06-13-2022,Morning,8:07:19,31.629,130.67,20.46,1.37,8.2,,06-13-2022,Morning,7:58:36,31.523,129.18,20.81,1.85,8.23,,06-13-2022,Morning,8:11:22,31.515,117.99,17.92,3.15,8.25
06-14-2022,Morning,7:33:40,31.269,119.42,17.66,1.33,8.18,,06-14-2022,Morning,7:43:24,31.318,122.57,18.95,1.23,8.22,,06-14-2022,Morning,7:36:48,31.282,112.49,17.58,1.28,8.21,,06-14-2022,Morning,7:47:13,31.347,111.18,17.5,1.35,8.21
06-15-2022,Morning,8:29:31,"31,892",118.16,19.47,1.18,8.24,,06-15-2022,Morning,8:42:08,"31,893",125.23,19.61,1.25,8.23,,06-15-2022,Morning,8:32:58,"31,833",123.76,19.35,1.69,8.26,,06-15-2022,Morning,8:45:44,"31,874",111.55,18.76,4.15,8.31
06-16-2022,Morning,9:54:31,31.663,108.36,17.33,3.89,8.27,,06-16-2022,Morning,10:07:32,31.503,114.81,17.61,1.65,8.21,,06-16-2022,Morning,10:02:54,31.493,123.28,18.47,1.76,8.19,,06-16-2022,Morning,10:09:25,30.965,0.27,0.03,5.33,8.21
06-17-2022,Morning,7:24:27,31.479,98.77,14.93,1.93,8.18,,06-17-2022,Morning,7:35:36,31.478,103.39,15.75,1.07,8.17,,06-17-2022,Morning,7:29:39,31.465,96.76,15.34,1.36,8.17,,06-17-2022,Morning,7:39:54,31.466,98.57,15.74,1.91,8.23
06-18-2022,Morning,7:22:48,"31,631",111.19,17.8,2.37,8.23,,06-18-2022,Morning,7:34:26,"31,642",114.75,17.88,2.31,8.26,,06-18-2022,Morning,7:29:54,"31,677",124.1,19.39,1.13,8.21,,06-18-2022,Morning,7:38:22,"31,674",111.38,17.42,2.1,8.24
06-19-2022,Morning,7:32:16,31.683,107.96,17.49,3.35,8.36,,06-19-2022,Morning,7:43:40,31.73,116.73,18.15,2.68,8.35,,06-19-2022,Morning,7:39:07,31.741,113.34,18.71,1.94,8.29,,06-19-2022,Morning,7:50:46,31.766,116.01,18.6,2.52,8.31
06-20-2022,Morning,7:40:15,31.372,100.76,16.01,1.75,8.31,,06-20-2022,Morning,7:51:22,31.409,106.35,16.63,0.75,8.24,,06-20-2022,Morning,7:45:39,31.401,104.26,16.89,1.39,8.3,,06-20-2022,Morning,7:54:49,31.385,95.07,15.44,1.59,8.29
