pondday,temp,ph,do,chl,pc,amm,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDMI,NDWI,NDCI,NDTI,MNDWI,NDVI,mNDHI,cells_count,cells_prop,pond,day,dark_day
GIL2_1,28.4,8.19,3.4,61.55,1.6,0.06,229.555555555556,287.666666666667,423.888888888889,284.444444444444,456.444444444444,264.888888888889,272.444444444444,236,217.555555555556,658.555555555556,241.222222222222,172.666666666667,-0.00348492511621649,0.328060300974606,0.233357733383665,-0.201333902593538,0.323199887069868,-0.142345876764272,-0.00945914508903687,9,1,GIL2,1,362.527132419342
GIL2_2,28.7,8.23,2.5,55.76,2.1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,GIL2,2,910.69109947644
GIL2_3,29.2,8.33,7.7,56.81,2,0.13,325.333333333333,379.333333333333,504.555555555556,353.555555555556,540.222222222222,358.333333333333,370.333333333333,297.333333333333,280.555555555556,640.222222222222,247.666666666667,168.555555555556,0.117628341475937,0.305993089089308,0.209897025680021,-0.181003309550146,0.401093178568766,-0.137012414127957,-0.0403870064050194,9,1,GIL2,3,410.59754601227
GIL2_4,29,8.28,4.2,66.67,2.09,0.09,682,608.555555555556,744,553.555555555556,745,560.222222222222,541.111111111111,467.111111111111,468.333333333333,840,355.666666666667,225.666666666667,0.152997351079752,0.244515347653645,0.147176014326714,-0.148275620263709,0.378323236423366,-0.101542950788999,-0.049107848553491,9,1,GIL2,4,612.44705527941
GIL2_5,29.6,8.25,2.2,75.52,2.08,0.11,610.625,646.875,730,546.625,755.375,588.5,586.875,476.375,461.875,985.25,321.25,214.75,0.198140418174913,0.211134597494621,0.160348470424927,-0.143783447711884,0.391661358158635,-0.0696193181148373,-0.0839800178914806,8,0.888888888888889,GIL2,5,643.150123631226
GOW2_1,28.5,8.48,8.79,185.36,6.53,0.33,341.277777777778,414.5,570.888888888889,355.333333333333,665.111111111111,529.944444444444,572.166666666667,496.777777777778,461.055555555556,810.166666666667,342.888888888889,249.611111111111,0.198629767503723,0.12078515231659,0.30516067493181,-0.23702455206631,0.302374892224226,0.115363271092874,-0.0818201965233263,18,1,GOW2,1,362.527132419342
GOW2_2,29.4,8.42,6.73,123.2,8.32,0.17,1344.3125,1172.8125,1163.9375,908,1171.4375,1085.6875,1044.5,897.9375,883.8125,1305.6875,455.6875,283.6875,0.333148515505328,0.130186421159867,0.12635473383788,-0.123667390574926,0.442469104383274,-0.00672251430942077,-0.1273749317009,16,0.888888888888889,GOW2,2,910.69109947644
GOW2_3,29.5,8.87,11.04,131.93,9.69,0.11,320.555555555556,368.277777777778,512.277777777778,309.722222222222,609.166666666667,519.333333333333,583.055555555556,452.222222222222,396.777777777778,575.944444444444,269.222222222222,170.166666666667,0.306433198729681,0.117959024301458,0.328052866160976,-0.250880058882866,0.387491557347008,0.132118933379106,-0.0913961473584078,18,1,GOW2,3,410.59754601227
GOW2_4,30.1,8.55,11.51,127.99,6.82,0.14,1676.5,1312.5,1367.25,1078,1394.5,1273.5,1256,1165,1111.75,1880.5,781.5,499.75,0.201884199522444,0.0811901580313086,0.128234812298447,-0.118371778171118,0.277672848350716,0.0374173806862822,-0.0980986525801821,4,0.222222222222222,GOW2,4,612.44705527941
GOW2_5,30.3,8.35,7.5,99.03,6.67,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,GOW2,5,643.150123631226
GRA1_1,28.3,8.37,3.2,276.81,10.47,0.12,301.8,427.325,633.475,399.5,818.2,580,586.3,493.7,372.8,491.125,210.65,165.2,0.462505592052918,0.150039675227123,0.349850770572188,-0.234655441335027,0.562831883619982,0.0871389742188896,-0.0415100404027238,40,1,GRA1,1,362.527132419342
GRA1_2,28.9,8.43,3,148.63,7.61,0.12,1908.33333333333,1617,1582.66666666667,1274,1587,1374.33333333333,1339,1231,1120.33333333333,2092.33333333333,663,502,0.300556222706956,0.12590753134908,0.109402106196582,-0.108052251348648,0.410675655389246,-0.018146866527337,-0.118444459659626,3,0.075,GRA1,2,910.69109947644
GRA1_3,29.2,8.48,3.3,111.26,5.64,0.17,456.15,561.75,750.25,505.2,908.2,630.075,639.875,500.325,403.875,355.525,188.425,137.175,0.53285362745215,0.224248372821931,0.288674448851049,-0.200320076634149,0.661677691452599,-0.0262945018903418,-0.0581550225428669,40,1,GRA1,3,410.59754601227
GRA1_4,28.4,8.54,4,132.52,5.78,0.15,775.325,739.275,914.225,658.6,1052.05,801.675,798.725,664.175,578.75,572.025,280.55,192.2,0.450991030110136,0.172347318529145,0.231555898881702,-0.164991052016109,0.570340872590382,-0.00821105691205626,-0.0602973201192819,40,1,GRA1,4,612.44705527941
GRA1_5,30.1,8.57,4.7,114.96,5.27,0.18,658.975,751.775,912.1,680.15,1068.375,864.8,892.575,727.35,657.05,767.075,304.05,219.475,0.450701886330774,0.126608314195631,0.223659236175779,-0.148268858702315,0.539610229481399,0.0217169041541163,-0.0527134652171733,40,1,GRA1,5,643.150123631226
JAG1_1,28.4,8.22,2.1,253.65,7.19,0.25,400.736842105263,476.263157894737,670,434.736842105263,807.947368421053,586.947368421053,606,528,465.631578947368,624.157894736842,327.789473684211,227.315789473684,0.246789674166418,0.141301817160935,0.302952926978756,-0.215976929162289,0.368511955531567,0.0740009070439292,-0.0474181199085418,19,1,JAG1,1,362.527132419342
JAG1_2,29.2,8.3,2.1,158.34,7.17,0.03,1874.33333333333,1457.83333333333,1409.33333333333,1181.33333333333,1431.5,1318.66666666667,1295.66666666667,1092.66666666667,1194.66666666667,2232,779.833333333333,592,0.17566017167317,0.134227793996967,0.0956690653122578,-0.0889635943149125,0.301657167171895,-0.0462426199925724,-0.105634641081211,6,0.315789473684211,JAG1,2,910.69109947644
JAG1_3,28.9,8.28,2.8,138.85,6.22,0.25,366.263157894737,451.210526315789,665.684210526316,423.578947368421,824.052631578947,569.684210526316,595.631578947368,476.526315789474,429,355.947368421053,256.210526315789,177.315789473684,0.336275075201136,0.19756495757748,0.323648987393685,-0.225713634567325,0.483967686460133,0.0245330585247686,-0.0348190187501776,19,1,JAG1,3,410.59754601227
JAG1_4,29.3,8.33,4.5,154.75,6.48,0.21,772.263157894737,727.157894736842,914.157894736842,656.210526315789,1034.21052631579,836.736842105263,851.473684210526,730,687.210526315789,627.263157894737,372.578947368421,237.684210526316,0.338962559909794,0.124354680970166,0.224101764921441,-0.165313628764891,0.438190579264978,0.0404098950331151,-0.0523455923418903,19,1,JAG1,4,612.44705527941
JAG1_5,29.8,8.3,3.6,182.92,7.41,0.41,685.473684210526,750.578947368421,900.789473684211,657.526315789474,1062.52631578947,879.684210526316,914.736842105263,765.210526315789,714.684210526316,831.473684210526,403.842105263158,286.578947368421,0.322337474030348,0.0950126150954624,0.236744594238646,-0.157513291572119,0.399114830533485,0.062132683024848,-0.0667983441440166,19,1,JAG1,5,643.150123631226
JKS1_1,28.6,8.34,2,110.52,6.8,0.16,374.75,420,569.75,484.5,813.75,747.5,783.5,734.5,713.25,1316.75,710.5,479,0.00184814590103242,-0.0841647954272075,0.255061423551446,-0.0842634845969626,-0.0828593291869993,0.165470020510933,0.0674372294545141,4,1,JKS1,1,362.527132419342
JKS1_2,29.3,7.89,1.21,52.38,5.6,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,JKS1,2,910.69109947644
JKS1_3,29.3,8.36,3.17,81.72,4.79,0.11,426.25,480,618,524.75,848,706.75,736.75,665.5,669.25,1145.25,700.5,481.25,-0.0365472447900601,-0.00403955481554763,0.235791718669847,-0.0851422222077705,-0.0391517936074361,0.0870083386536848,0.0404636355831176,4,1,JKS1,3,410.59754601227
JKS1_4,29.4,7.94,3.6,85.07,2.91,0.1,751.25,670,800.75,677.75,990.5,860,863.5,777.75,782.25,1340.5,777,507.5,-0.00431490535759938,0.0347586033989504,0.187943831137684,-0.0851011989497085,0.0309925763268947,0.0491753784780041,0.0034560514894954,4,1,JKS1,4,612.44705527941
