"pondday","day.x","pond.x","temp","ph","do","chl","pc","amm","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","pond.y","day.y","pond","day"
"GIL2_1",1,"GIL2",28.4,8.19,3.4,61.55,1.6,0.06,222.125,281.375,411.875,267.375,431.25,226.25,223.875,189.125,167.25,624.875,190.5,136,"GIL2",1,"GIL2",1
"GIL2_2",2,"GIL2",28.7,8.23,2.5,55.76,2.1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIL2",2,"GIL2",2
"GIL2_3",3,"GIL2",29.2,8.33,7.7,56.81,2,0.13,318.5,367.375,488,329.75,507.125,301.25,308.25,230.5,210.125,604.875,181.75,123.25,"GIL2",3,"GIL2",3
"GIL2_4",4,"GIL2",29,8.28,4.2,66.67,2.09,0.09,677.875,602.125,733,534.625,718.25,512,490.625,414.5,410.75,806.625,299.5,188.5,"GIL2",4,"GIL2",4
"GIL2_5",5,"GIL2",29.6,8.25,2.2,75.52,2.08,0.11,610.625,646.875,730,546.625,755.375,588.5,586.875,476.375,461.875,985.25,321.25,214.75,"GIL2",5,"GIL2",5
"GOW2_1",1,"GOW2",28.5,8.48,8.79,185.36,6.53,0.33,338.470588235294,412.823529411765,569.235294117647,353.058823529412,660.294117647059,520.764705882353,556.235294117647,486.176470588235,445.470588235294,786.176470588235,334.176470588235,243.764705882353,"GOW2",1,"GOW2",1
"GOW2_2",2,"GOW2",29.4,8.42,6.73,123.2,8.32,0.17,1337.2,1165.8,1155.7,896.3,1159.7,1060.5,1013.7,865.9,847.7,1225.9,412.4,260.8,"GOW2",2,"GOW2",2
"GOW2_3",3,"GOW2",29.5,8.87,11.04,131.93,9.69,0.11,319.466666666667,365.2,507.6,302.933333333333,600.533333333333,502.6,561.733333333333,428.8,369.266666666667,595.733333333333,249.333333333333,159,"GOW2",3,"GOW2",3
"GOW2_4",4,"GOW2",30.1,8.55,11.51,127.99,6.82,0.14,1369,1227,1280,995,1301,1148,1096,990,949,1450,567,366,"GOW2",4,"GOW2",4
"GOW2_5",5,"GOW2",30.3,8.35,7.5,99.03,6.67,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOW2",5,"GOW2",5
"GRA1_1",1,"GRA1",28.3,8.37,3.2,276.81,10.47,0.12,298.051282051282,418.923076923077,624.051282051282,381.974358974359,799.410256410256,547.384615384615,550.74358974359,455.333333333333,331.128205128205,458.692307692308,169.615384615385,133.564102564103,"GRA1",1,"GRA1",1
"GRA1_2",2,"GRA1",28.9,8.43,3,148.63,7.61,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRA1",2,"GRA1",2
"GRA1_3",3,"GRA1",29.2,8.48,3.3,111.26,5.64,0.17,454.205128205128,555.589743589744,743.025641025641,489.820512820513,891.025641025641,599.128205128205,603.384615384615,461.692307692308,360.48717948718,321.230769230769,143.615384615385,101.076923076923,"GRA1",3,"GRA1",3
"GRA1_4",4,"GRA1",28.4,8.54,4,132.52,5.78,0.15,772.435897435897,733.641025641026,907.512820512821,645,1038.17948717949,772.846153846154,767.333333333333,630.769230769231,540.74358974359,542.74358974359,238.589743589744,160.769230769231,"GRA1",4,"GRA1",4
"GRA1_5",5,"GRA1",30.1,8.57,4.7,114.96,5.27,0.18,657.846153846154,746.358974358974,905.410256410256,665.74358974359,1053.76923076923,835.512820512821,858.410256410256,690.410256410256,614.641025641026,740.692307692308,259.51282051282,185.461538461538,"GRA1",5,"GRA1",5
"JAG1_1",1,"JAG1",28.4,8.22,2.1,253.65,7.19,0.25,398.647058823529,469.705882352941,661.470588235294,420.235294117647,797.411764705882,568.588235294118,588.882352941176,506.058823529412,439.764705882353,615.470588235294,304.117647058824,210.529411764706,"JAG1",1,"JAG1",1
"JAG1_2",2,"JAG1",29.2,8.3,2.1,158.34,7.17,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAG1",2,"JAG1",2
"JAG1_3",3,"JAG1",28.9,8.28,2.8,138.85,6.22,0.25,362.764705882353,442.705882352941,656.058823529412,408.705882352941,809.764705882353,542.470588235294,565.117647058824,445.294117647059,395.882352941176,344.529411764706,227.176470588235,158.705882352941,"JAG1",3,"JAG1",3
"JAG1_4",4,"JAG1",29.3,8.33,4.5,154.75,6.48,0.21,774.117647058824,724.764705882353,909.529411764706,646.117647058824,1023,817.588235294118,823.941176470588,702.705882352941,659.882352941176,620.352941176471,349.058823529412,221.294117647059,"JAG1",4,"JAG1",4
"JAG1_5",5,"JAG1",29.8,8.3,3.6,182.92,7.41,0.41,673.466666666667,727.933333333333,879.4,631.266666666667,1036.33333333333,834,855.933333333333,705.066666666667,659.666666666667,798.733333333333,365.6,263.266666666667,"JAG1",5,"JAG1",5
"JKS1_1",1,"JKS1",28.6,8.34,2,110.52,6.8,0.16,370,411.666666666667,556,467.666666666667,800.333333333333,715.666666666667,724.333333333333,675,645,1313,672,452.333333333333,"JKS1",1,"JKS1",1
"JKS1_2",2,"JKS1",29.3,7.89,1.21,52.38,5.6,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JKS1",2,"JKS1",2
"JKS1_3",3,"JKS1",29.3,8.36,3.17,81.72,4.79,0.11,426.25,480,618,524.75,848,706.75,736.75,665.5,669.25,1145.25,700.5,481.25,"JKS1",3,"JKS1",3
"JKS1_4",4,"JKS1",29.4,7.94,3.6,85.07,2.91,0.1,751.25,670,800.75,677.75,990.5,860,863.5,777.75,782.25,1340.5,777,507.5,"JKS1",4,"JKS1",4
"JKS1_5",5,"JKS1",30.3,7.96,2.35,74.61,4.99,0.1,630.5,688.5,817,706.5,1044,1011,1079,972.5,971,1355,895,615.5,"JKS1",5,"JKS1",5
"KIS1_1",1,"KIS1",28.9,8.03,3.3,95.45,2.91,0.03,332.428571428571,379,509.285714285714,394,626.142857142857,554.285714285714,589.571428571429,540.285714285714,530.714285714286,1079.57142857143,434,302.142857142857,"KIS1",1,"KIS1",1
"KIS1_2",2,"KIS1",29.5,8.06,3.84,44.31,2.5,0.04,1322.5,1179.75,1189.75,955.25,1160.25,988.75,953.75,835,818.75,1430,422.5,254.25,"KIS1",2,"KIS1",2
"KIS1_3",3,"KIS1",30.1,8.53,6.88,52.15,2.49,0.08,316.857142857143,378.857142857143,553.714285714286,399.714285714286,673.428571428571,524,532.285714285714,462.142857142857,475.428571428571,798.428571428571,380,252.571428571429,"KIS1",3,"KIS1",3
"KIS1_4",4,"KIS1",29.9,8.1,5.55,32.1,1.06,0.1,857.142857142857,793.714285714286,942,739.857142857143,1023.85714285714,938,964.714285714286,869.857142857143,860.142857142857,1053.85714285714,559.714285714286,346.571428571429,"KIS1",4,"KIS1",4
"KIS1_5",5,"KIS1",31,8.11,7.06,41.81,2.78,0.17,623.833333333333,679.166666666667,774,588.333333333333,857.833333333333,732.333333333333,754.5,652,661.333333333333,1133.16666666667,413,269.5,"KIS1",5,"KIS1",5
"NRO1_1",1,"NRO1",28.7,8.07,1.6,267.14,14.88,0.26,328.769230769231,391.307692307692,520.153846153846,377.641025641026,785.435897435897,648.153846153846,671.25641025641,592.692307692308,529.102564102564,817.076923076923,384.282051282051,282.74358974359,"NRO1",1,"NRO1",1
"NRO1_2",2,"NRO1",29.6,8.28,6.5,189.65,16,0.2,1419.1724137931,1239.41379310345,1225.41379310345,974.51724137931,1287.44827586207,1051.55172413793,997.137931034483,838.137931034483,805.896551724138,1207.27586206897,418.172413793103,287.586206896552,"NRO1",2,"NRO1",2
"NRO1_3",3,"NRO1",29.3,8.13,1.1,137.97,12.4,0.21,356.263157894737,425.473684210526,556.421052631579,395.947368421053,789.973684210526,618.710526315789,648.289473684211,529.947368421053,486.710526315789,522.131578947368,328.605263157895,230.842105263158,"NRO1",3,"NRO1",3
"NRO1_4",4,"NRO1",30,8.24,5.3,134.54,10.82,0.18,729.384615384615,667.205128205128,754.974358974359,593.769230769231,923.74358974359,785.871794871795,788.435897435897,693.307692307692,671.615384615385,749.820512820513,437.230769230769,286.282051282051,"NRO1",4,"NRO1",4
