"pond","polygon","lon","lat","day","ammonia","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","chlorophyll","do","ph","phycocyanin","temperature","do_category","chlorophyll_category"
"GIL2",8,81.1162222222222,16.6437777777778,"1",0.06,0.847609674980297,0.298898010477885,0.366747781012087,0.954817756571497,0.969836121964469,0.886449512546799,0.980203202834523,0.688805405278881,0.639074486328816,0.55881380217507,0.41705463468044,0.448468561488665,61.55,3.4,8.19,1.6,28.4,"bad","bad"
"GOW2",11,81.15025,16.6499166666667,"1",0.33,0.717250654671935,0.333730436388021,0.402910835719487,0.700143555707422,0.957854634700751,0.522553761100768,0.714591741914984,0.72558713023999,0.651649125157697,0.524225403107532,0.341137510595431,0.596303012324414,185.36,8.79,8.48,6.53,28.5,"good","good"
"GRA1",6,81.1402222222222,16.636,"1",0.12,1.13784914682616,0.500658235296926,0.519332663604438,1.07224812938951,1.02692340782925,0.962602966177819,0.965935523801726,0.688519593907395,0.6588499213746,0.590529591542833,0.527887108540725,0.599568898445881,276.81,3.2,8.37,10.47,28.3,"bad","good"
"JAG1",2,81.1338888888889,16.6167777777778,"1",0.25,0.818720269750371,0.357540557796019,0.412847646865377,0.837138022857853,0.804170210385982,0.712121641127049,0.675548299557942,0.400446950100928,0.360692711813489,0.318049067380971,0.244949706381692,0.526716678336029,253.65,2.1,8.22,7.19,28.4,"bad","good"
"JKS1",15,81.1271944444445,16.6585,"1",0.16,1.21029859759725,0.519760372711245,0.6162747608106,1.03576625817892,0.878954199248122,0.834579685711385,0.817968086942456,0.654908176620758,0.591235820846202,0.519232780220794,0.413198944857765,0.680754048080004,110.52,2,8.34,6.8,28.6,"bad","good"
"KIS1",18,81.1463055555556,16.6623611111111,"1",0.03,0.959277509043354,0.563440996499257,0.630830206892575,0.899383606595134,0.875223229884494,0.786956024475659,0.853310581005926,0.763238852452763,0.696413310557043,0.626042982603068,0.543773486353952,0.819839831035547,95.45,3.3,8.03,2.91,28.9,"bad","bad"
"NRO1",4,81.143,16.6287777777778,"1",0.26,0.818286023993261,0.356529842438292,0.414279084795312,0.799488249422665,0.873979573429951,0.656007607707217,0.707294588148339,0.470988559070152,0.412601036734139,0.326474406804403,0.228036512369623,0.482761693360051,267.14,1.6,8.07,14.88,28.7,"bad","good"
"NSR1",1,81.136,16.6155277777778,"1",0.23,0.58868136354824,0.372605576480325,0.396671234486438,0.619166825644998,0.635301172195613,0.610781781163081,0.523057209326748,0.284453767470459,0.256385037276994,0.237018890185866,0.218613146895672,0.633050869170838,52.33,3.7,8.24,10.6,27.9,"moderate","bad"
"PKR1",7,81.1405,16.6379444444444,"1",0.21,0.865986250235755,0.458841801604593,0.528235509266229,0.86189844325224,0.902894585998071,0.833180948807958,0.817886167254229,0.489766366176718,0.482003870080748,0.431221464725254,0.363893752994063,0.858657220364982,257.05,4.8,8.18,7.33,29.7,"moderate","good"
"PNR1",12,81.1395555555556,16.6488055555556,"1",0.14,0.986419857167449,0.378680077872727,0.436981341232877,0.918816742490973,0.872286818811268,0.804079450456104,0.824589928407438,0.559833023896268,0.514459433326742,0.456197648852366,0.377306789790318,0.555472797826157,182.11,2.87,8.34,7.64,28.3,"bad","good"
"PRA1",14,81.1505555555556,16.6561388888889,"1",0.19,0.808524242999191,0.395524422295023,0.46633953466521,0.762610484559863,0.685269511887064,0.690376571619993,0.846464435632704,0.633460074700604,0.586534008866903,0.518213344133973,0.426380172392756,0.641926796608971,358.49,3.3,8.36,11.2,29,"bad","good"
"SBR1",20,81.1440277777778,16.6684444444444,"1",0.14,0.9151061260688,0.427015753237976,0.515474763817662,0.906997780399159,0.853770156043631,0.748557366150631,0.752145617452394,0.532723815310915,0.517659277590432,0.452247334015935,0.394977460908136,0.669466827021178,255.62,3.99,7.96,11.06,28.9,"moderate","good"
