"","min","q1","mean","q3","max"
"B1",223.475859546157,370.881385118057,861.275966619449,867.58270158088,4393.113421501
"B11",166.679689542241,301.229477811472,599.827690487889,680.872690092257,4155.21419270833
"B12",111.164020005712,211.308162631681,431.356675027235,467.098512961775,3481.99734129128
"B2",289.904835695943,448.027966037873,855.420814406152,856.900149331042,4621.6998594027
"B3",430.808752312231,637.000375742963,989.197450755482,1028.13287643302,4466.72768277649
"B4",255.609615196176,412.023695780157,751.449042938833,819.676443836292,4262.10232435727
"B5",468.959656569062,770.436409323707,1098.17828296773,1194.51459034159,4684.25279463098
"B6",284.237838341446,620.810719948129,974.004603814324,1063.91649662149,4547.645786583
"B7",290.254886929951,636.891913822719,988.119363523625,1077.48650972427,4589.38780959109
"B8",262.77814519973,522.632955985075,874.158898235604,965.107801748801,4538.02157094969
"B8A",239.290821055256,464.691525386529,832.942851921482,905.831521325995,4532.35012189716
"B9",301.481326647856,626.757517189156,1169.14239148271,1258.89337489007,7161.70549022052
