"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.05,2,0,0.6,1,0.25,50,109.958708354262,0.0593426582007696,79.5213374255067,22.4696476539845,0.0817210350218228,13.200808335701
"5",0.05,2,0,0.6,1,1,50,115.425474504138,0.0244398656429155,84.6045801296084,20.0371446123749,0.0288017890706077,12.8922110716997
"9",0.05,2,0,0.6,10,0.25,50,108.427504353653,0.0330666142344713,77.4643492505181,21.0676949988531,0.0377211840281989,11.1259687815443
"13",0.05,2,0,0.6,10,1,50,112.90929094207,0.0337013279034146,82.6549428744743,21.9581477580061,0.0354248747549184,13.8585785520437
"17",0.05,2,0,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"21",0.05,2,0,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"25",0.05,2,0,0.8,1,0.25,50,111.670796666079,0.0342695791958959,80.1725803190034,20.9183681214231,0.0542074613790389,13.0397568258818
"29",0.05,2,0,0.8,1,1,50,116.770474338971,0.0226071348287623,85.489557383719,20.6455730372814,0.0236585437977366,13.3895930572239
"33",0.05,2,0,0.8,10,0.25,50,108.215341076334,0.051404527725525,77.5294616456022,21.261687375285,0.0451384179652397,11.0835676266534
"37",0.05,2,0,0.8,10,1,50,112.822933711036,0.0355169316135131,82.7406154957107,21.8947836953935,0.0413141399550642,13.5226183891277
"41",0.05,2,0,0.8,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"45",0.05,2,0,0.8,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"49",0.05,2,1,0.6,1,0.25,50,110.817283867848,0.0429024947828744,80.1149873143822,21.9400444164411,0.0647633070640299,13.0795136546528
"53",0.05,2,1,0.6,1,1,50,115.892997069778,0.0252618805350038,84.881058217073,20.0867149405245,0.0318734571283751,12.973160371472
"57",0.05,2,1,0.6,10,0.25,50,108.095220492536,0.0428327686149273,77.3579329066099,20.5664813951302,0.0441116929538684,10.8775973817099
"61",0.05,2,1,0.6,10,1,50,113.007926342153,0.0317933852065742,82.830632616286,21.5290780591939,0.0401319461929296,13.6114768702004
"65",0.05,2,1,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"69",0.05,2,1,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"73",0.05,2,1,0.8,1,0.25,50,111.440076970649,0.0359194317867838,81.025428303812,21.590655543143,0.0440739246843226,13.4810417383265
"77",0.05,2,1,0.8,1,1,50,115.97893561085,0.0237461684522635,84.8358147398609,20.3403005676233,0.0260092718889431,13.0000819053225
"81",0.05,2,1,0.8,10,0.25,50,108.480015867271,0.0397482746879702,77.6527242535013,21.6152292308326,0.0359977597495323,11.5133804736833
"85",0.05,2,1,0.8,10,1,50,112.935988260963,0.0367750044850966,82.997318626222,21.676431477248,0.0422839601359723,13.5973941264262
"89",0.05,2,1,0.8,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"93",0.05,2,1,0.8,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"97",0.05,2,10,0.6,1,0.25,50,111.17541361602,0.0371390807516961,79.9777319617614,22.1230592998463,0.036853012191667,13.5779534917256
"101",0.05,2,10,0.6,1,1,50,115.899692525355,0.0270206342660912,85.0560420991372,20.1470167521203,0.0335595787334338,13.0521129650283
"105",0.05,2,10,0.6,10,0.25,50,108.154550352365,0.0460186668531725,77.3207718994974,21.5411973129916,0.0621662273469357,11.429271696492
"109",0.05,2,10,0.6,10,1,50,112.616391451207,0.0349271672046969,82.4796293424299,21.6553017560713,0.0390893732869677,13.616449892014
"113",0.05,2,10,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"117",0.05,2,10,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"121",0.05,2,10,0.8,1,0.25,50,110.828645104722,0.0380122513314978,80.1259425767854,20.675051439641,0.0723244384601942,12.5952769112151
"125",0.05,2,10,0.8,1,1,50,116.153973280311,0.0248884274886502,84.9953748987047,20.6511569477144,0.025297203112451,13.2084446747648
"129",0.05,2,10,0.8,10,0.25,50,109.041653883528,0.0393588575030236,77.9676229725439,21.9028759907843,0.0395381625083968,10.9985803304615
"133",0.05,2,10,0.8,10,1,50,113.08746426533,0.0353916206644645,83.1062900847455,21.5279347260034,0.0401648095337542,13.7001376104342
"137",0.05,2,10,0.8,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"141",0.05,2,10,0.8,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"145",0.05,2,100,0.6,1,0.25,50,110.761375634912,0.0402373025852495,80.4664102490193,21.0194058661547,0.0733780548297096,12.9738216735328
"149",0.05,2,100,0.6,1,1,50,115.569647744449,0.0235338876559294,84.9503116382908,20.7646391139647,0.0260176529222507,13.6501855734403
"153",0.05,2,100,0.6,10,0.25,50,108.822643095636,0.0386895394770623,77.7661657386879,21.1508612176937,0.0404808627723057,10.754149770986
"157",0.05,2,100,0.6,10,1,50,112.963576662226,0.0333556969032902,82.7789074755421,21.8334583454328,0.0398599321319483,13.4584881504282
"161",0.05,2,100,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"165",0.05,2,100,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"169",0.05,2,100,0.8,1,0.25,50,111.930250768329,0.0438787642550242,80.6308674861559,21.2027707938307,0.0839277607014659,12.6322579460798
"173",0.05,2,100,0.8,1,1,50,115.948073724327,0.0227184452469082,84.97816501707,20.7221090101279,0.0241681582114191,13.467065779307
"177",0.05,2,100,0.8,10,0.25,50,108.281550901108,0.0422105889780783,77.5614191910184,21.5926947512937,0.0464603760772516,11.0327942206305
"181",0.05,2,100,0.8,10,1,50,113.123137320194,0.0319326782195461,82.7858067408167,21.5167788484264,0.0374735361158301,13.5071559842837
"185",0.05,2,100,0.8,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
