"observation","prediction"
61.55,147.592814306774
276.81,155.161550118727
253.65,114.255592420773
257.05,130.091651080892
182.11,132.370480306655
358.49,148.741131337629
255.62,130.519840298535
314.77,126.116258543796
138.97,190.526138314863
118.74,133.271258966707
126.37,138.976578432905
236.18,140.611689749178
56.81,151.592836124252
111.26,141.250529151852
138.85,142.091122300043
228.51,137.372100251823
77.2,128.087224848787
180.58,139.489213898925
147.42,124.402198708105
214.55,114.251580039435
177.07,181.692540387909
95.73,126.192195422195
85.9,140.799193958555
142.82,129.87034245342
