"observation","prediction"
3.4,5.33337239749337
8.79,5.74264257750214
3.2,5.31934526260838
2.1,6.08042954011402
3.3,5.41092967101831
1.6,5.67674680412587
4.8,5.3859719213836
2.87,4.93648149409628
3.3,5.59516231643525
4.7,5.74246379543352
2.7,5.74241706886129
3.75,5.75030815109221
7.7,5.73175623478082
11.04,5.74240891705546
3.3,5.18227708279206
2.8,3.58085852991194
6.88,5.08121160006891
1.1,5.91356605166595
8.1,4.91853980093976
12.94,5.40637467028571
3.9,5.11952009756103
3.73,5.74244178829503
4.2,5.74241675764532
3.32,5.73994686915606
4.2,5.6294846177597
11.51,5.74215954495771
4,5.62085687485417
4.5,4.59295810068977
5.55,5.7420991986564
5.3,4.1110071679166
2.8,5.7229048648672
5.4,5.23858880181855
4.39,4.91458231368362
3.82,6.03961168045062
4.2,5.74241703844462
5.4,5.74722230129544
2.2,5.72489492600794
4.7,5.59936786668695
3.6,4.75172046172073
7.06,5.70597208209045
8.77,5.23278937208808
11.59,5.63432297944264
6.72,5.70050780528015
7.7,5.74238975099343
6.75,5.74241704261673
