pond,day1,day2,day3,day4,day5
NSR1,8.24,8.42,8.51,8.57,8.51
JAG1,8.22,8.3,8.28,8.33,8.3
VPS3,8.16,8.22,8.21,8.22,8.24
NRO1,8.07,8.28,8.13,8.24,8.26
VMS1,8.2,8.28,8.28,8.33,8.37
GRA1,8.37,8.43,8.48,8.54,8.57
PKR1,8.18,8.25,8.33,8.25,ND
SRI2,8.14,8.19,8.19,8.27,8.2
SRI1,8.2,8.27,8.23,8.17,8.23
GIL2,8.19,8.23,8.33,8.28,8.25
SNR2,8.26,8.2,8.63,8.38,8.62
JKS1,8.34,7.89,8.36,7.94,7.96
PNR1,8.34,8.48,9.1,8.67,8.73
GOW2,8.48,8.42,8.87,8.55,8.35
SRV1,8.31,8.09,8.66,8.33,8.31
SRK1,8.85,8.66,8.96,8.69,8.6
VVR1,8.39,8.54,9.04,8.66,8.85
KIS1,8.03,8.06,8.53,8.1,8.11
PRA1,8.36,8.42,8.61,8.23,8.29
SBR1,7.96,8.22,8.77,8.25,8.26
