pond,day1,day2,day3,day4,day5
NSR1,10.6,12.09,12.02,11.57,10.89
JAG1,7.19,7.17,6.22,6.48,7.41
VPS3,3.97,5.28,4.04,3.4,3.7
NRO1,14.88,16,12.4,10.82,6.31
VMS1,10.17,11.41,11.16,14,13.46
GRA1,10.47,7.61,5.64,5.78,5.27
PKR1,7.33,7.32,9.81,1.13,ND
SRI2,4.97,8.01,6.84,6.97,8.28
SRI1,4.88,6.82,8.4,6.74,7.05
GIL2,1.6,2.1,2,2.09,2.08
SNR2,8.74,9.76,9.75,8.94,14.26
JKS1,6.8,5.6,4.79,2.91,4.99
PNR1,7.64,8.78,9.27,8.71,9.88
GOW2,6.53,8.32,9.69,6.82,6.67
SRV1,6.27,4.68,8.58,4.9,5.84
SRK1,16.36,19.03,22.65,18.03,17.01
VVR1,6.89,6.81,6.49,4.16,3.65
KIS1,2.91,2.5,2.49,1.06,2.78
PRA1,11.2,10.74,10.31,8.65,6.84
SBR1,11.06,12.73,12.66,9.92,10.37
