"observation","prediction"
3.4,4.58588099114943
3.2,4.58598804595309
2.1,4.58602951493562
4.8,4.58724468353119
2.87,4.6908361801969
3.3,4.58605596384269
3.99,4.62341376288081
4.7,4.58605596512238
2.7,4.58605596512238
3.1,4.58604885082582
3.7,4.58606721433845
5.51,4.58605597014752
7.7,4.58605596512238
3.3,4.58605574399178
2.8,4.58761502247856
8.1,4.58605596397171
12.94,4.58604772521175
3.9,4.58358678350646
13.87,4.58606283650035
3.73,4.58605596512238
4.2,4.58605596512238
7,4.58605231144679
4.6,4.58605232947777
13.44,4.58605520019896
