"observation","prediction"
61.55,0.999997386449248
185.36,0.999999272398037
253.65,0.999999654911334
95.45,0.999985704089356
267.14,0.99999518587597
182.11,0.999989094158763
358.49,0.999983766023956
314.77,0.999999906266484
335.43,0.999995011632591
126.37,0.999999535633794
236.18,0.999989464251249
55.76,1
123.2,0.999999667891385
44.31,1
189.65,1
106.35,0.999999936188632
151.73,0.999999680982008
195.48,1
126.34,1
136.97,1
56.81,0.999999410916993
131.93,0.999999017219265
138.85,0.999990343620688
52.15,0.999990500337314
137.97,0.999998306074933
77.2,0.999994197154977
180.58,0.999985160560708
214.55,0.999999678149684
238.28,0.999998365038568
85.9,0.999999374536121
142.82,0.999998640570912
66.67,0.999999201308787
127.99,0.999999664517347
154.75,0.999999085189365
32.1,0.999999565609664
134.54,0.999999649124299
86.14,0.999999784037002
171.74,0.999996237689091
199.88,1
371.9,0.999999675354719
105.07,0.999999257745422
139.85,1
75.52,0.999997273692786
99.03,0.999998363735391
182.92,0.999998663339241
41.81,0.999999400727282
104.24,0.999998845010166
105.6,0.99999975156846
124.1,0.999997542083072
308.93,1
356.37,0.99999956311437
88.27,0.999998982264851
80.05,1
