"observation","prediction"
61.55,144.10888402579
185.36,159.936926333531
253.65,143.584825092887
95.45,143.644891195543
267.14,143.172770286194
182.11,143.602636972898
358.49,143.602636984207
314.77,143.602636972898
335.43,143.602636973505
126.37,154.727221817698
236.18,146.386402613297
55.76,143.598996132003
123.2,143.552151685449
44.31,143.602303424091
189.65,143.603172799046
106.35,143.603038736167
151.73,143.208385677202
195.48,142.941953055681
126.34,143.602636972853
136.97,142.638260833562
56.81,143.588342451644
131.93,143.602197501344
138.85,143.952077629277
52.15,143.602662052455
137.97,144.669698834388
77.2,143.602636972898
180.58,143.611261039373
214.55,143.602637125017
238.28,143.602636972898
85.9,153.300174764533
142.82,144.095650211514
66.67,143.557345167691
127.99,143.599084031923
154.75,123.921101970353
32.1,143.602636973397
134.54,143.732971121892
86.14,143.602637348655
171.74,142.137031704849
199.88,143.602637688086
371.9,143.602636972923
105.07,141.898362504768
139.85,143.139221181029
75.52,142.515073630683
99.03,138.353274088498
182.92,143.4935382363
41.81,143.602636984716
104.24,143.602636972891
105.6,143.602630228976
124.1,140.332672678561
308.93,143.602638088859
356.37,143.602636972898
88.27,121.876006496654
80.05,143.602636972513
