"observation","prediction"
185.36,173.279724121094
253.65,100.230163574219
95.45,194.322891235352
267.14,280.939727783203
257.05,257.077728271484
182.11,147.236801147461
358.49,235.863891601562
314.77,179.157241821289
138.97,139.357238769531
118.74,118.230392456055
621.83,609.013671875
123.2,163.511611938477
44.31,106.27466583252
189.65,148.517669677734
190.67,190.406799316406
106.35,105.661285400391
151.73,198.402053833008
195.48,130.537338256836
85.36,87.0050506591797
170.45,170.113006591797
377.58,369.254058837891
131.93,169.782897949219
138.85,242.425231933594
52.15,192.001678466797
137.97,214.820068359375
228.51,227.02033996582
77.2,153.189926147461
180.58,332.948822021484
214.55,131.541320800781
177.07,176.612915039062
95.73,96.032096862793
477.38,471.776062011719
127.99,111.514175415039
154.75,196.440933227539
32.1,197.610366821289
134.54,137.339385986328
36.69,38.535228729248
86.14,156.669738769531
171.74,154.917831420898
199.88,159.283874511719
101.82,101.764976501465
155.79,154.996124267578
383.74,378.401641845703
99.03,193.974090576172
182.92,124.540924072266
41.81,148.442092895508
104.24,173.292022705078
105.6,148.644805908203
124.1,220.896560668945
308.93,255.692565917969
101.43,103.104461669922
170.53,170.639831542969
401,393.142791748047
