"observation","prediction"
61.55,404.084297095895
185.36,318.00726681767
276.81,333.641766181796
253.65,303.447246724976
110.52,388.350938804889
267.14,508.649443836426
257.05,421.780731323641
182.11,475.083400982242
358.49,128.940324090852
255.62,444.907307870625
118.74,629.100813849111
213.31,209.417355947173
126.37,525.337319172569
236.18,315.471575401793
56.81,315.1365007763
131.93,252.828665098737
111.26,557.963857611206
138.85,328.176400987844
81.72,565.399752407963
137.97,614.731501790073
228.51,520.593225414618
77.2,556.99030790932
180.58,349.059845736499
147.42,433.515697099779
95.73,604.556425291287
185.66,44.0120106736055
85.9,501.297948033343
142.82,487.40910016021
66.67,171.599027170515
127.99,87.7082120146331
132.52,70.7228264874994
154.75,73.6251909905617
85.07,92.6593872622745
134.54,272.507049519079
36.69,173.202287409554
86.14,202.812533963484
171.74,72.380806532393
129.88,209.928892192834
155.79,577.701883724523
139.9,171.471718904025
105.07,192.612376985931
139.85,267.95144683054
75.52,170.277088060293
114.96,131.666660510858
182.92,91.5175655469438
74.61,304.665700123166
105.6,191.82376800337
124.1,182.981651990884
170.53,268.435942129453
132.31,126.666815719152
88.27,218.677861637829
80.05,378.329143580879
